Account ID,Owner ID,Rating,Malicious
1616,824,0.001695158843920297,True
1480,760,0.02915215376979391,True
1794,906,0.0,True
1263,648,0.0,True
252,130,0.00685911500604125,True
255,130,0.0,True
1665,846,0.0,True
177,95,0.0,True
1086,562,0.0,True
391,192,0.0,False
1983,977,0.0,True
1819,920,0.0,True
542,273,0.0,True
582,295,0.0,True
982,517,0.04098851998640013,True
227,116,0.0,True
1916,951,0.0,True
986,517,0.0,True
1623,829,0.0,True
335,169,0.0,True
1099,565,0.0,True
1462,750,0.06812002749382087,True
1561,799,0.0,True
1953,962,0.0,True
1549,796,0.0,True
1824,921,0.0,True
757,399,0.0,True
1564,799,0.0,True
429,212,0.0,True
1448,743,0.0,True
680,357,0.0,True
1483,760,0.0,True
658,344,0.0,True
298,148,0.04357142503875516,True
1559,799,0.0,True
1486,762,0.0,True
118,67,0.0,True
1118,573,0.0,True
847,444,0.058189836494920794,False
1055,551,0.0,True
1656,841,0.0,True
159,86,0.09722660822091475,True
1586,809,0.0,True
166,91,0.07512326445776168,False
1946,961,0.0,True
469,233,0.0,True
843,442,0.0,True
1034,541,0.0,True
273,138,0.0,True
549,276,0.0,True
1189,608,0.0,True
989,517,0.0,True
1212,623,0.0,True
521,260,0.0,True
554,278,0.04290394501857858,True
1286,656,0.0,True
760,399,0.0,True
1721,870,0.0,True
1888,944,0.0,True
1883,942,0.0,True
1631,833,0.0,True
636,329,0.0,True
653,341,0.0,True
351,175,0.0,True
1080,560,0.0,True
903,476,0.0,True
1427,730,0.0,True
343,171,0.0,True
1547,796,0.0,True
314,158,0.0,True
1351,692,0.0,True
1257,646,0.0,True
1867,935,0.0,True
1417,725,0.0,True
1678,853,0.0,True
1251,643,0.0,True
340,171,0.0,True
1700,862,0.0,True
1114,573,0.0,True
421,209,0.0,True
1643,836,0.0,True
815,431,0.0,True
123,69,0.0,True
1827,921,0.0,True
205,105,0.0,True
1031,540,0.0,True
431,214,0.0,True
838,441,0.06562881369883786,False
1019,534,0.0,True
1101,565,0.0,True
455,223,0.0,True
417,208,0.0,True
